formulaire029-equation019	h_{00}(t) = 2t^3-3t^2+1
200922-1017-154	 { \left ( \mbox { C } \right ) } ^ { { 9 + \mbox { e } } } 
200926-1550-161	 5.2 
509_em_92	\lim_{x \rightarrow \infty} p_k(x) = \infty \!
MfrDB3067	\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}
2009212-952-115	 \mbox { H } 
31_em_181	\frac{az^{-1} }{ (1-a z^{-1})^2 }
formulaire038-equation070	(148 - 47) \times 62 \leq 6262
formulaire035-equation054	\beta = \frac{\beta_{1} - \beta_{2}}{\sqrt{3}}
200924-1312-210	 \sum { \mbox { b } } 
200923-1254-124	 \sqrt { \mbox { y } } 
formulaire025-equation007	y_1 + u
200923-1254-118	 { 8.0 \theta } 
formulaire009-equation054	q_{n-1} = a_n
TrainData2_13_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
formulaire039-equation070	94 \times (11  146) = 7.08
formulaire016-equation063	Y_{\alpha}(x)
formulaire032-equation062	\phi_1(p)+\phi_2(p)
dif_eqn07	 x^{2} \frac{d^{2} y}{d x^{2}} - 3 x \frac{dy}{dx} + y =\frac{\log x \cdot \sin{\log x} + 1}{x} 
KME2G3_7_sub_38	\frac 2 {\frac {3 m - 2 n \times 9^n - 9^m} {2 n - 1}}
formulaire036-equation013	g(x)=e^{\sin(x)}(x+\cos(x)\sin(x))
TrainData2_15_sub_88	3 0 \times 2 9 x^{2 8}
KME2G3_7_sub_26	x_1 \times x_2 \times x_3 \times x_4 = X
200923-1253-176	 { \cdots - \sum { \mbox { i } } } 
formulaire030-equation002	(s, x, y, z)
formulaire021-equation009	\frac {x-10}{1} = 0,7
MfrDB3448	g ( 2 , 3 , 4 ) = 3 {4^{- 3}}
formulaire022-equation051	\sqrt{xd}
118_alfonso	P(x) = \sum_{i=0}^{n} a_j x^j
rit_42145_2	 + \frac {\pi} {3} 
formulaire034-equation043	k=k+1
KME1G3_7_sub_24	a ( n ) = \sum_{k = 1}^n ( - 1 )^{n - k} k !
formulaire021-equation032	a_{i,j} = a_{i-1,j+1}
MfrDB0021	\frac{1 + 2}{3 + 4}
MfrDB3341	E = E_{k} + E_{p}
200923-131-262	 { { - r } + \int \mbox { G } dB } 
106_Frank	y^4 + y + 1 = 0
200923-131-294	 \pi 
formulaire025-equation072	w_1=1
200923-1556-8	 \int \frac { \sin \left ( x \right ) + 1 } { \sqrt { \cos ^ 3 \left ( x \right ) + \tan \left ( x \right ) } } d x 
200923-1254-366	 H 
200923-1253-48	 \sin \left ( \frac { \pi } { 3 } \right ) = \frac { 1 } { 2 } 
TrainData1_6_sub_7	\tan z = \frac{\sin z}{\cos z}
formulaire025-equation031	x = 2 \times 70 + 3 \times 21 + 2 \times 15 = 233
formulaire011-equation054	u^3 = 2 + \sqrt{-121} = 2 + 11\sqrt{-1}
MfrDB0594	x = {y^{2}}
MfrDB1443	\frac{a_{1} + a_{2} + {a^{3}}}{1 - x}
MfrDB3396	V = a \cdot b \cdot c
MfrDB2447	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 21
formulaire020-equation048	(n \times n)
200925-1126-70	 { - \mbox { Y } } 
200925-1126-143	 \sum { \mbox { H } } 
200922-947-156	 \mbox { h } 
TrainData2_22_sub_49	1 + \frac{1}{1 !} + \frac{1}{2 !} + \frac{1}{3 !} + \frac{1}{4 !}
formulaire047-equation030	47 \div (136 + 198) = 0.14
2009213-139-71	 { f } ^ { \mbox { k } } \left ( \mbox { w } \right ) 
formulaire003-equation010	((26 \div 128) + 50) - (183 \div 29) \neq -6
502_em_2	492
116_em_177	R_g\ltq^{-1}\ltl_0
200925-1126-1	 \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z 
200922-949-99	 N 
200923-1253-255	 { - o } 
516_em_380	4 + 4 - 4 + {\sqrt4}
formulaire001-equation069	f(z)=\sum_{n=0}^{\infty}a_n(z-a)^n
2009213-137-7	 \sum _m f \left ( m + 3 \right ) 
200926-1617-87	 \frac { \pi } { { x \mbox { l } } } 
formulaire015-equation060	((177 - 72) \times (104 \times 164)) \div (79 \times (113 \times 18)) = 11.15
formulaire003-equation070	(166 + (93 \times 67)) - (64 + 127 + 176) \leq 6030
MfrDB3006	{( \frac{1 + {x^{2}}}{1 + {y^{2}}} )^{t}} \leq {2^{| t |}} {( 1 + {( x - y )^{2}} )^{| t |}}
2009220-1327-56	 2 \alpha + 3 \sqrt { \beta } 
200923-1251-138	 { 8.5 + { \left ( r \right ) } ^ { \mbox { b } } } 
200924-1312-149	 { - \mbox { t } } 
18_em_12	\frac{pe^t}{1-(1-p) e^t}\!
200926-1617-40	 { - \int _ { \sqrt { \mbox { r } } } ^ { C } \frac { { \mbox { z } - A } } { { \mbox { y } r } } d { \mbox { X } } _ { \mbox { M } } } 
formulaire017-equation005	((86 - 91)  120) - (30  71) \leq 0
200922-949-152	 { o } ^ { \sum { A } } 
200923-1254-35	 { i } _ { \mbox { R } } 
formulaire012-equation044	q(x)=x_1^2+x_2^2+x_3^2-2x_1x_2-2x_2x_3-2x_3x_1
200922-947-1	 \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z 
formulaire043-equation005	166 \times ((71 \div 175) - 83) = -13710.65
MfrDB1812	\sqrt[5]{55}
200923-1251-103	 \sum { { \mbox { t } - \lambda } } 
200922-1017-32	 a x ^ 4 + b x + c = 0 
formulaire006-equation004	2 x_{max}
200922-949-158	 \alpha 
TrainData1_1_sub_15	F_{n} = F_{n - 1} + F_{n - 2}
TrainData2_2_sub_61	\int \left( 2^{x} - 3 e^{x} \right) d_{x}
TrainData2_6_sub_43	\frac{2 \tan \alpha}{1 - \tan^{2} \alpha}
200924-1331-185	 { B \gamma } 
formulaire009-equation046	135a_6a_3^2-225a_6a_4a_2+27a_4^3-90a_5a_4a_3+125a_5^2a_2=0
formulaire019-equation070	24 - 43 \neq 18
126_herbert	| x - \frac{p_n}{q_n} | \leq \frac{1}{q_nq_{n+1}} \lt  \frac{1}{q_n^2}
2009212-1031-76	 \mbox { L } 
formulaire033-equation026	a+b = b
formulaire014-equation035	(103  (18 + 134)) + 109 \leq 110
2009213-139-11	 { \left [ \sum { \mbox { h } } \right ] \lt \sum { { b + n } } } 
122_em_339	n = \frac{L}{2} \sqrt{\frac{t}{c_o} }
formulaire009-equation017	v_2 = j^2{{e}}^{\frac{-2i\pi}{9}}
MfrDB3347	f ( x , y ) = \frac{x}{y} + x y
TrainData2_16_sub_20	a + b + c + d + e
formulaire023-equation041	y = x^\frac {1}{3}
formulaire022-equation068	a_i + b_i
95_caue	b= c \sin B = c \cos A
formulaire024-equation001	x^3-x-1
200926-1617-93	 \left ( { S - { \mbox { l } } _ { C } } \right ) 
TrainData1_6_sub_28	\left( z^{\frac{n}{2}} + y^{\frac{n}{2}} \right) \left( z^{\frac{n}{2}} - y^{\frac{n}{2}} \right) = x
TrainData2_0_sub_41	\frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta}
MfrDB3374	\sqrt{x y z} = \sqrt{x} \sqrt{y} \sqrt{z}
formulaire012-equation010	125 \pm 140 + ((154 - 42) \times 178)
MfrDB1387	e = m {c^{2}}
MfrDB0552	1 + 2
formulaire030-equation016	k^{n+1} - { 0 }
520_em_467	\exists  h, h^2 = a^2 + b^2
200923-1553-192	 2.4 
80_edwin	\frac{1}{r^2} = \frac{1}{(R - m)^2} + \frac{1}{(R + m)^2}
MfrDB3418	s_{n} = \sum_{k = 1}^{n} a_{k}
formulaire001-equation009	u_n = a q^{n - n_0}
200923-1553-1	 \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z 
200922-1017-3	 08.4 
formulaire003-equation033	f(x) = X^2 - 4X - 5
KME2G3_9_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire015-equation013	2^n \times 2^n
MfrDB1669	1234 + 5678 \gt 90
MfrDB2029	v = \frac{d s}{d t}
200923-1253-241	 { { - \mbox { q } } - z } 
RIT_2014_116	 \frac {a} {b + \sqrt {c}} = \frac {a} {b + \sqrt {c}} \times \frac {b - \sqrt {c}} {b - \sqrt {c}} 
MfrDB1600	\lim_{n \to \infty} | x_{n + 1} - x_{n} |
formulaire024-equation046	x = \frac{c}{d}
115_em_148	\Delta S_{1,2}
MfrDB2011	\sqrt{x} = 1 {0^{( \log x )  2}}
200923-131-78	 { \cdots - 7 } 
KME2G3_16_sub_30	\sum_{i = 2 n + 3 m}^{1 0} i x
formulaire031-equation030	68 \pm 171 \div 133
MfrDB1883	\lim_{n \to \infty} | x_{n + 1} - x_{n} |
200926-1617-43	 \frac { \pi r ^ 2 h } { 3 } 
rit_4285_1	 \sqrt {a} \pm \sqrt {b} = \sqrt {a + b \pm 2 \sqrt {a b}} 
KME2G3_23_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
75_Fabricio	c^2 = a^2 + b^2 - 2ab \cos C
